content,sentiment
"写在论坛建立之初的话",0.8796900106405731
"糖尿病足部病变的辅助检查",0.9320245157404888
"糖尿病黎明现象及其临床处理",0.9730137342306202
"西太平洋地区糖尿病宣言—治疗指导手册－主要关于2型糖尿病",0.9998326193228556
"世界糖尿病日(World Diabetes Day)",0.9688185574031034
"欧盟批准Galvus?作为2型糖尿病新治疗选择",0.906633880024197
"糖尿病合并心梗者 低血糖≠心血管预后不良",0.9294497086602697
"聆听专家报告 剖析循证证据",0.9758075066235341
"分子遗传学研究改变糖尿病治疗",0.9999581978413377
"致力于糖尿病科学研究是EASD矢志不渝的任务",0.9985840793519828
"平均血糖替代HbA1C:血糖监测的未来趋势",0.9997704425732674
"从基础到临床 糖尿病研究精彩不断 EASD 2007热点一览",0.9966020840930949
"血管紧张素Ⅱ受体拮抗剂对肾脏保护作用的研究进展
",0.9952085900179173
"喝牛奶有助预防糖尿病与心脏病?????
",0.7705474830596812
"糖尿病中医防治指南-3.糖尿病肾病
",0.9930632544661827
"糖尿病中医防治指南-8.糖尿病合并心脏病
",0.9974204215258137
"糖尿病中医防治指南-9.糖尿病合并脑血管病
",0.9923009850041523
"糖尿病中医防治指南-7.糖尿病自主神经病变
",0.9948964399360827
"糖尿病中医防治指南-6.糖尿病勃起功能障碍
",0.9983695458924239
"糖尿病中医防治指南-5.糖尿病周围神经病变
",0.9872338329479692
"糖尿病中医防治指南-4.糖尿病视网膜病变
",0.9858401103462548
"糖尿病中医防治指南-1.糖尿病前期
",0.9992244685725398
"糖尿病中医防治指南-15.附录（完）
",0.995462903301095
"糖尿病中医防治指南-14.糖尿病合并皮肤病
",0.990792463413073
"糖尿病中医防治指南-13.代谢综合征
",0.888309630778981
"糖尿病中医防治指南-12.糖尿病合并脂代谢紊乱
",0.9914556715083097
"糖尿病中医防治指南-11.糖尿病合并高血压病
",0.9892743334764077
"糖尿病中医防治指南-10.糖尿病足
",0.9962353474286973
"春节前最后一次本地数据库备份08.1.29
",0.6437798753100924
"Freestyle(利舒坦血糖仪)蝴蝶血糖仪测试说明
",0.9994518840029528
"2008.09.08-甜蜜家园三周年
",0.9946972393956396
"甜蜜家园4周年了
",0.9946438544425932
"胰岛素分泌机制的新发现或可带来糖尿病治疗新曙光
",0.9923919073368603
"胃旁路手术的原理与优缺点
",0.998997536881857
"[原创]高血糖和低血糖症状
",0.9873134547181638
"请设置正确的邮箱,可以通过邮箱找回密码
",0.9905363232272683
"鼓励大家对未晋级会员加分，让其升级
",0.767777405863149
"[原创]糖尿病饮食营养计算工具恢复了
",0.9928842644550657
"【抢楼活动】罗氏倾情奉献 免费血糖仪任你抢
",0.9985923239936599
"楼层变化，导致抢中变成没有抢中的，有合理补偿
",0.9113065616395637
"近段时间所传附件出错的说明
",0.6007663958637756
"蜱虫有那么可怕么？小时候时常弄着玩
",0.8853640134762444
"《胰岛素泵治疗糖尿病》马学毅的书出第二版了
",0.9686201152361733
"2011ADA妊娠期糖尿病诊治建议
",0.8153723243433256
"福彩中心：5亿巨奖提前一个月被预测纯属巧合
",0.8652643176217077
"【召集帖】糖尿病免费科普讲座，患者请进报名
",0.9839350333542536
"看新捷大哥参加糖尿病教育大会风采
",0.9989793482898682
"多动、减肥、吃好、戒烟、限酒做到十个字，糖尿病风险减八成
",0.9724988090481435
"[原创]2011年度甜蜜家园""拜耳血糖仪""春季之星投票
",0.9937397863379622
"[原创]2011年度甜蜜家园""拜耳血糖仪""夏季之星评选推荐ing
",0.949240261293998
"祝大家国庆节日快乐，开开心心
",0.9836505385028146
"2011年度甜蜜家园""拜耳血糖仪""春季之星最终结果
",0.9967597532382871
"日本科学家最新研究发现：狼吞虎咽很伤血糖
",0.9993315917789916
"2011年度甜蜜家园""拜耳血糖仪""春季之星奖品已发
",0.9950354774761739
"2011年北京第五届“联合国糖尿病日”年民族文化宫活动照片
",0.9874316046871251
"把交规考过了
",0.9074087801497879
"为糖尿病患者点燃希望 “蓝光行动”在哈市启动
",0.9309395701973749
"2011年联合国糖尿病日年度主题
",0.8613192976202199
"北京：糖尿病患病率约占常住人口９％
",0.6597693940840526
"桂林举行糖尿病健康宣传活动
",0.6947382620330542
"青岛市将举行 “世界糖尿病日”万人健步行活动
",0.9925432229683807
"代订《糖尿病之友》2012全年,7.5折订阅,前100名免费送过刊两本
",0.910181807760208
"第一届“青云汇”会议撷粹
",0.8508113040186451
"三诺生物骗税无碍过会
",0.7919614540177599
"第二代罗氏卓越金锐血糖试纸国内快上市了
",0.8395019258300958
"三诺生物产品结构单一 谨防再现康芝药业悲剧
",0.9602815227968718
"2011年度甜蜜家园""拜耳血糖仪""夏季之星投票
",0.9724241241883543
"[原创]2011年度甜蜜家园""拜耳血糖仪""秋季之星评选推荐ing
",0.9894183550318701
"""糖人""杯第5届美食大赛获奖美食达人
",0.9178184899350558
"测试tnbz.com论坛主题推送QQ空间动态，腾讯微博
",0.720313561778159
"大家看月食没有。
",0.7642109438026371
"2011年度甜蜜家园""拜耳血糖仪""夏季之星最终结果
",0.9840060633965808
"发帖纪念一下场地考，桩考过了
",0.8520308394633694
"天涯社区4000万用户密码也遭泄露
",0.9407731304758614
"2011年度甜蜜家园""拜耳血糖仪""夏季之星奖品快递单号
",0.8983181756808275
"我喜欢湖南卫视
",0.6627314382634526
"祝大家2012年事事顺心如意
",0.8195119510429106
"祝大家龙年大吉，给大家拜年了
",0.7986548056839793
"让我们一起改变糖尿病 咨询糖尿病将有数据库
",0.9979311905832396
"祝大家元宵节日快乐
",0.9797278685123955
"[原创]2012.02.14祝大家情人节日快乐
",0.9884927805361217
"罗家英自嘲糖尿病反复因贪吃所致(图)
",0.9968997310826886
"血糖记录标记有这些是不是足够了
",0.9883747975215962
"血糖监测 记录餐后1小时血糖有必要么？
",0.9741204374955408
